region,year,month,n_fires,mean_frp,sum_frp
Total,2019,July,985,8.872131979695432,8739.049999999994
Total,2019,August,4024,8.771838966202782,35297.879999999954
Total,2019,September,6200,9.45220806451613,58603.689999999995
Total,2019,October,4316,7.902018072289156,34105.10999999991
Total,2019,November,994,7.419557344064386,7375.040000000001
Total,2019,December,54,6.588148148148148,355.76
Total,2020,January,12,4.275,51.3
Total,2020,February,18,3.816111111111111,68.69000000000001
Total,2020,March,21,6.093333333333334,127.96
Total,2020,April,22,7.730454545454546,170.07000000000002
Total,2020,May,166,18.834337349397597,3126.5000000000014
Total,2020,June,176,8.050340909090908,1416.8600000000004
Total,2020,July,723,8.185394190871369,5918.04
Total,2020,August,3480,9.380597701149425,32644.480000000014
Total,2020,September,4655,9.83181740064447,45767.110000000146
Total,2020,October,3570,8.279854341736694,29559.07999999996
Total,2020,November,930,9.7427311827957,9060.740000000003
Total,2020,December,3,2.8633333333333333,8.59
Total,2021,January,7,5.594285714285714,39.16
Total,2021,February,8,4.52,36.160000000000004
Total,2021,March,20,4.2045,84.089999999999975
Total,2021,April,20,4.3645,87.28999999999999
Total,2021,May,59,6.851694915254237,404.2499999999999
Total,2021,June,45,4.495777777777778,202.31000000000006
Total,2021,July,89,6.540786516853933,582.1299999999999
Total,2021,August,1163,10.24957867583835,11920.259999999997
Total,2021,September,5151,9.166705494078819,47217.69999999996
Total,2021,October,4679,8.6569352425732,40505.79999999999
Total,2021,November,2096,7.987657442748091,16742.130000000016
Total,2021,December,742,8.921010781671159,6619.389999999999
Total,2022,January,4,4.8500000000000005,19.400000000000002
Total,2022,February,8,4.47125,35.77
Total,2022,March,12,4.015833333333333,48.19000000000001
Total,2022,April,11,3.558181818181818,39.14
Total,2022,May,34,3.3523529411764708,113.97999999999999
Total,2022,June,9,4.168888888888889,37.519999999999996
Total,2022,July,19,8.643157894736841,164.22000000000003
Total,2022,August,1011,9.207418397626112,9308.699999999988
Total,2022,September,5094,9.238680800942285,47061.84000000004
Total,2022,October,5223,9.143327589507944,47755.599999999606
Total,2022,November,433,6.994688221709007,3028.7
Total,2022,December,77,6.013506493506494,463.04
Total,2023,January,25,3.2172,80.43000000000002
Total,2023,February,30,3.815,114.45000000000002
Total,2023,March,6,4.38,26.28
Total,2023,April,19,4.7436842105263155,90.13
Total,2023,May,64,4.33625,277.52
Total,2023,June,231,5.385974025974026,1244.1600000000005
Total,2023,July,590,9.34120338983051,5511.31
Total,2023,August,3110,8.319186495176853,25872.669999999973
Total,2023,September,5550,7.507895495495496,41668.82000000005
Total,2023,October,3927,7.7810822510822515,30556.310000000092
Total,2023,November,582,7.313642611683849,4256.539999999996
Total,2023,December,76,5.737105263157895,436.0200000000002
Total,2024,January,20,5.0865,101.72999999999999
Total,2024,February,89,5.098426966292135,453.75999999999993
Total,2024,March,45,4.7604444444444445,214.21999999999994
Total,2024,April,18,3.7222222222222223,67
Total,2024,May,108,6.1745370370370365,666.8499999999996
Total,2024,June,214,5.682289719626168,1216.010000000001
Total,2024,July,788,8.637855329949238,6806.629999999991
Total,2024,August,4227,8.84008753252898,37367.050000000105
Total,2024,September,4028,9.580382323733863,38589.78000000015
Total,2024,October,1265,8.323699604743084,10529.479999999998
Total,2024,November,155,6.725290322580645,1042.42
Total,2024,December,181,8.690883977900553,1573.0499999999984
